direction,strength,frequency
N,0_1,0.5
NNE,0_1,0.6
NE,0_1,0.5
ENE,0_1,0.4
E,0_1,0.4
ESE,0_1,0.3
SE,0_1,0.4
SSE,0_1,0.4
S,0_1,0.6
SSW,0_1,0.4
SW,0_1,0.5
WSW,0_1,0.6
W,0_1,0.6
WNW,0_1,0.5
NW,0_1,0.4
NNW,0_1,0.1
N,1_2,1.6
NNE,1_2,1.8
NE,1_2,1.5
ENE,1_2,1.6
E,1_2,1.6
ESE,1_2,1.2
SE,1_2,1.5
SSE,1_2,1.7
S,1_2,2.2
SSW,1_2,2
SW,1_2,2.3
WSW,1_2,2.4
W,1_2,2.3
WNW,1_2,2.6
NW,1_2,2.3
NNW,1_2,0.8
N,2_3,0.9
NNE,2_3,1.3
NE,2_3,1.6
ENE,2_3,0.9
E,2_3,1
ESE,2_3,0.6
SE,2_3,0.6
SSE,2_3,0.9
S,2_3,1.4
SSW,2_3,1.7
SW,2_3,1.9
WSW,2_3,2.2
W,2_3,1.8
WNW,2_3,1.7
NW,2_3,1.8
NNW,2_3,0.8
N,3_4,0.9
NNE,3_4,0.8
NE,3_4,1.2
ENE,3_4,1
E,3_4,0.8
ESE,3_4,0.4
SE,3_4,0.5
SSE,3_4,0.5
S,3_4,0.8
SSW,3_4,0.9
SW,3_4,1.3
WSW,3_4,1.1
W,3_4,1.2
WNW,3_4,1.2
NW,3_4,1.3
NNW,3_4,1
N,3_4,0.4
NNE,3_4,0.5
NE,3_4,1.2
ENE,3_4,0.5
E,3_4,0.4
ESE,3_4,0.2
SE,3_4,0.4
SSE,3_4,0.4
S,3_4,0.7
SSW,3_4,0.6
SW,3_4,0.7
WSW,3_4,0.8
W,3_4,0.9
WNW,3_4,1
NW,3_4,1
NNW,3_4,0.7
N,4_5,0.3
NNE,4_5,0.3
NE,4_5,0.6
ENE,4_5,0.2
E,4_5,0.1
ESE,4_5,0.1
SE,4_5,0.05
SSE,4_5,0.1
S,4_5,0.1
SSW,4_5,0.2
SW,4_5,0.3
WSW,4_5,0.4
W,4_5,0.9
WNW,4_5,0.9
NW,4_5,0.9
NNW,4_5,0.3
N,5_6,0.2
NNE,5_6,0.1
NE,5_6,0.1
ENE,5_6,0.1
E,5_6,0.1
ESE,5_6,0.1
SE,5_6,0.05
SSE,5_6,0.05
S,5_6,0.1
SSW,5_6,0.05
SW,5_6,0.2
WSW,5_6,0.2
W,5_6,0.4
WNW,5_6,0.7
NW,5_6,0.7
NNW,5_6,0.4
N,6<,0.1
NNE,6<,0.1
NE,6<,0.1
ENE,6<,0.1
E,6<,0.1
ESE,6<,0.05
SE,6<,0.05
SSE,6<,0.05
S,6<,0.05
SSW,6<,0.1
SW,6<,0.1
WSW,6<,0.1
W,6<,0.9
WNW,6<,2.2
NW,6<,1.5
NNW,6<,0.2
